"random_module","delta_pocd_vs_ctrl","cohens_d","abs_cohens_d","effect_size_category","direction"
"RANDOM_CONTROL_200_01",-0.121829511928062,-0.442559140117568,0.442559140117568,"weak","down_in_pocd"
"RANDOM_CONTROL_200_02",-0.0479517496656017,-0.175465496743773,0.175465496743773,"null_effect","near_null"
"RANDOM_CONTROL_200_03",-0.0826916422823226,-0.274124641697764,0.274124641697764,"weak","down_in_pocd"
"RANDOM_CONTROL_200_04",-0.0933473196201325,-0.30924776525691,0.30924776525691,"weak","down_in_pocd"
"RANDOM_CONTROL_200_05",-0.237373523483729,-0.823758215775373,0.823758215775373,"strong","down_in_pocd"
"RANDOM_CONTROL_200_06",-0.117938674532534,-0.40711968483142,0.40711968483142,"weak","down_in_pocd"
"RANDOM_CONTROL_200_07",-0.0999160904372469,-0.319686195905083,0.319686195905083,"weak","down_in_pocd"
"RANDOM_CONTROL_200_08",-0.170408441030516,-0.616224702363995,0.616224702363995,"moderate","down_in_pocd"
"RANDOM_CONTROL_200_09",-0.256944032421903,-0.778651560412816,0.778651560412816,"moderate","down_in_pocd"
"RANDOM_CONTROL_200_10",-0.143752135335847,-0.518552749409416,0.518552749409416,"moderate","down_in_pocd"
"RANDOM_CONTROL_200_11",-0.128482276517006,-0.426630450618916,0.426630450618916,"weak","down_in_pocd"
"RANDOM_CONTROL_200_12",-0.144396047601168,-0.386320392652648,0.386320392652648,"weak","down_in_pocd"
"RANDOM_CONTROL_200_13",-0.161488614406603,-0.461522612579183,0.461522612579183,"weak","down_in_pocd"
"RANDOM_CONTROL_200_14",-0.166881805675555,-0.535095057996018,0.535095057996018,"moderate","down_in_pocd"
"RANDOM_CONTROL_200_15",-0.146398014418078,-0.491602304917075,0.491602304917075,"weak","down_in_pocd"
"RANDOM_CONTROL_200_16",-0.106065662064475,-0.331831718769302,0.331831718769302,"weak","down_in_pocd"
"RANDOM_CONTROL_200_17",-0.108736782937193,-0.363231145335998,0.363231145335998,"weak","down_in_pocd"
"RANDOM_CONTROL_200_18",-0.109230339224642,-0.368163893192229,0.368163893192229,"weak","down_in_pocd"
"RANDOM_CONTROL_200_19",-0.212804669367176,-0.662002012027383,0.662002012027383,"moderate","down_in_pocd"
