module,gene_symbol,module_class
HALLMARK_INFLAMMATORY_RESPONSE,Abca1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Abi1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Acvr1b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Acvr2a,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Adgre1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Adm,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Adora2b,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Adrm1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ahr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Aplnr,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Aqp9,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Atp2a2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Atp2b1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Atp2c1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Axl,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Bdkrb1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Best1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Bst2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Btg2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,C3ar1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,C5ar1,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Calcrl,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl17,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl20,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl22,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl24,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl5,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccl7,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccr7,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Ccrl2,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Cd14,inflammatory
HALLMARK_INFLAMMATORY_RESPONSE,Cd40,inflammatory
