gene_name,selected_probe_id,GSM2510565,GSM2510566,GSM2510567,GSM2510568,GSM2510569,GSM2510570,GSM2510571,GSM2510572,GSM2510573,GSM2510574,GSM2510575,GSM2510576
0610009B22Rik,A_55_P2052831,2.070536196,1.906249436,2.101603148,1.707636114,1.995351559,1.794373594,1.600972771,1.919370685,1.682303835,1.720085163,1.751889766,2.025803395
0610010F05Rik,A_52_P293299,1.037339758,1.312089794,0.938388901,0.922706999,1.029376905,1.073776252,0.81379571,0.800289199,0.779693387,0.761053684,0.858613318,0.51602992
0610012G03Rik,A_51_P417279,0.717286482,0.893096868,0.911836522,0.737364706,0.8530258,0.60006196,0.324095435,0.80008978,0.742021058,0.771983213,0.752049153,0.892832317
0610030E20Rik,A_52_P120740,0.628361117,0.473971817,0.572662817,0.302157302,0.270232503,0.348470633,0.503066383,0.366626964,0.26762314,0.251827564,0.379466547,0.407673061
0610040J01Rik,A_51_P483617,-1.469446032,-1.51503425,-1.717359061,-2.118675574,-1.716755267,-1.668747372,-1.848810239,-1.770702567,-2.003687889,-2.049445024,-1.997648988,-1.697286343
1110002E22Rik,A_55_P2132671,-0.794839781,-1.052193795,-0.718238719,-0.753368567,-0.458204927,-0.859182194,-0.953253128,-0.546761894,-0.653546382,-0.58831817,-0.58350449,-0.40307384
1110004F10Rik,A_55_P2041509,2.071983394,2.238426842,2.183656241,1.888824764,1.948964985,2.191392232,1.667120569,1.900616925,1.717138164,1.807403615,1.827813098,2.078173386
1110008P14Rik,A_51_P207153,4.533203215,4.533533641,3.851586754,4.16120539,4.128603594,4.057312453,3.623208885,4.085685837,4.195208915,4.265042022,4.099647056,4.177801847
1110012L19Rik,A_55_P1980951,0.423370418,0.375485879,0.158703408,0.006519935,0.318859732,0.055453191,-0.161145003,0.405913743,0.185586193,-0.230786928,0.028038142,0.24377976
1110017D15Rik,A_55_P2069470,0.804134638,-0.054159895,0.230966431,0.584049684,0.451547148,0.495042832,0.4697722,0.156462431,0.333237571,0.63762894,0.096798541,0.450029868
1110025L11Rik,A_55_P2119764,3.093713116,3.003096419,2.74854449,3.182479569,3.072336537,3.075543209,3.05669305,3.187576893,3.120753495,2.853842106,3.062723389,3.155661458
1110032A03Rik,A_55_P2023290,1.884813822,1.474367637,1.633102376,1.690313451,1.819498501,1.941002814,1.741109054,1.779212525,1.788284392,1.842552655,1.950681267,2.045928435
1110032F04Rik,A_66_P121965,-0.198010013,-0.131068976,-0.496635593,-0.542778857,-0.66922612,-1.156386822,-0.83423644,-0.804292186,-0.779399321,-0.594993237,-0.902249097,-0.702531216
1110038F14Rik,A_51_P121447,1.74744188,1.68694698,1.495734877,1.492883497,1.522327819,1.532574428,1.346243377,1.50200255,1.46001843,1.382360745,1.493661858,1.650936225
1110051M20Rik,A_55_P1964319,4.385340057,4.164338381,4.339134977,4.067971499,4.361323259,4.217759755,3.889197631,4.156121961,4.214516426,4.119559741,4.238621322,4.34743702
1110057P08Rik,A_55_P1963848,-6.708864504,-6.996494136,-6.98401963,-7.228679324,-6.892383632,-7.017547072,-6.581535554,-6.679720566,-6.352514742,-6.19806236,-6.393998495,-6.323042579
1110059E24Rik,A_51_P490348,-0.165636164,-0.128913873,-0.115645786,-0.473127939,-0.230497373,-0.321367217,-0.534730524,-0.180582839,-0.45372363,-0.353506565,-0.328025207,-0.372226179
1110059G10Rik,A_51_P194479,2.107112864,2.212817894,1.730997589,2.02272006,2.108824561,2.043564257,1.917227376,2.040619023,2.095521344,1.908945009,1.932734522,2.039130841
1110065P20Rik,A_52_P257523,2.855054342,2.945032316,2.625496447,2.579944394,2.885781454,2.314251215,2.176189349,2.607079969,2.262604069,2.233048135,2.560350228,2.840038073
1190005I06Rik,A_51_P234044,-0.988788151,-1.017318665,-1.111721621,-1.250764648,-1.01732225,-0.991855703,-1.264979206,-1.220571417,-1.505104824,-1.719548928,-1.425071298,-0.973387545
1300017J02Rik,A_52_P554451,-6.444493344,-5.70927763,-6.895801039,-6.144003637,-5.65797204,-5.962803813,-5.816378111,-6.475293474,-6.373594164,-6.237015624,-6.028871546,-6.154086226
1500009C09Rik,A_55_P1999389,4.122056537,4.370653361,3.889161418,3.912594258,4.146595147,3.951415204,3.729750778,4.177560221,3.979620152,3.614165918,4.014129367,4.188491815
1500009L16Rik,A_55_P2126790,0.098965783,0.056046795,0.129114024,-0.073084066,0.072642527,0.016425288,-0.632929969,-0.096757153,-0.156646243,-0.193112903,-0.067737483,0.034577045
1500011B03Rik,A_51_P407999,3.030696048,2.809887569,3.170003467,2.634692127,2.961570141,2.646429572,2.412316848,2.875923355,3.000338232,3.054202744,2.773156064,3.087798141
1520401A03Rik,A_55_P1980764,1.997506495,1.858852934,2.14373578,2.174388191,2.325701083,2.244303194,1.892375663,2.025021882,2.205428208,2.158748273,2.335026706,2.35865935
1600012H06Rik,A_52_P394385,1.067507698,0.950726437,0.756707589,0.910592593,0.961738215,0.694848942,0.508005317,0.707532667,0.671473986,0.345823436,0.729609813,0.895132413
1600014C10Rik,A_52_P77093,0.724556286,0.648466095,0.602619695,0.289584719,0.812741639,0.593424334,0.35975126,0.583213469,0.481898792,0.338446625,0.598279108,0.758547053
1600014C23Rik,A_51_P147064,-2.205790015,-2.494668689,-2.254902555,-2.153336538,-1.642390151,-2.066527571,-2.382964651,-1.823830226,-1.910946306,-2.030502471,-1.755487663,-1.770508609
1700001C19Rik,A_55_P2293414,-2.499872161,-2.515849446,-2.483632096,-2.385888366,-2.39321104,-2.382527812,-2.472981882,-2.344650257,-2.755303894,-2.290005675,-2.199718077,-2.465913858
1700001J03Rik,A_55_P2083153,-1.28574387,-1.386784645,-1.219214024,-0.96370927,-1.115087536,-1.150366235,-1.066071485,-0.944230949,-1.041473176,-1.124689517,-0.996905476,-0.890565394
1700001K19Rik,A_51_P443514,-1.069917973,-1.893921562,-1.567799789,-1.432326914,-1.418388343,-1.642042135,-1.188284524,-1.22622564,-1.362797896,-0.949118812,-1.411108929,-1.055103182
1700001O22Rik,A_52_P496403,-0.660086061,-0.354017343,-0.764232474,-0.490908171,-0.458393555,-0.463556445,-0.753459475,-0.552202381,-0.758034898,-0.519145928,-0.429914881,-0.47328746
1700001P01Rik,A_51_P236991,-4.443542416,-4.737290116,-4.44352769,-5.379936411,-5.51462681,-5.562493439,-5.186258879,-6.153326721,-6.334847951,-5.627901328,-6.138074188,-5.87284249
1700003E16Rik,A_51_P436594,-0.915759064,-0.675230177,-1.456272671,-1.470414035,-1.102646807,-1.282368661,-1.625054833,-0.929013502,-1.215252627,-1.409684641,-1.309646396,-1.130854411
1700003F12Rik,A_55_P2017724,1.550477037,1.004140855,1.532965733,1.377036468,1.726321846,1.583775692,1.342813317,1.521798145,1.478866309,1.565962203,1.65200416,1.814425842
1700003H04Rik,A_55_P2141826,1.184659993,1.555923777,0.609007357,0.944502327,0.539285686,0.686892627,0.638362408,0.487377316,0.385872028,0.729876186,0.61652958,0.408721516
1700006A11Rik,A_51_P449614,-6.892415015,-6.446265512,-6.088796338,-5.745351476,-6.366438423,-6.00954806,-5.919974428,-5.248003356,-5.716721091,-6.394023365,-6.363406589,-4.951683765
1700007K13Rik,A_55_P1982559,-1.431463579,-2.488630746,-1.756843266,-2.509275535,-1.604861539,-1.408268678,-1.87027617,-1.936639315,-1.966651699,-2.632687432,-2.204386221,-1.658547339
1700008O03Rik,A_55_P2237360,-0.481985349,-0.762815428,-0.234269765,-0.407632881,-0.12693966,-0.275581934,-0.679469823,-0.278409576,-0.415991292,-0.375641251,-0.274434943,-0.181501906
1700008P02Rik,A_51_P277836,-3.339649467,-3.483992906,-3.714945619,-3.251809335,-3.031635933,-2.978219825,-3.148101421,-3.009164058,-2.948575219,-3.300012344,-3.268895132,-3.298815149
1700009N14Rik,A_52_P464228,-6.890916015,-6.642417298,-6.78480236,-7.210702506,-7.009316457,-7.092477443,-6.693400112,-6.822074219,-6.443628992,-6.465274488,-6.582690718,-6.530616061
1700010B08Rik,A_51_P194319,1.066713608,0.883952391,1.22023945,1.384247226,1.381500236,1.402319272,0.893103327,0.944975039,1.327273253,1.317572353,1.448246652,1.279807606
1700010I14Rik,A_51_P116687,-1.863576323,-2.665279766,-2.090081167,-1.911421766,-2.190111136,-2.287010731,-1.759701349,-2.164369016,-2.358408425,-1.626001043,-2.32290993,-2.007519695
1700011L22Rik,A_51_P307901,-5.874723286,-6.362221838,-5.755226003,-4.852683231,-5.027874223,-4.840168228,-5.681534598,-5.220921538,-4.29014115,-4.827247815,-5.03375758,-5.22451329
1700011M02Rik,A_66_P126153,-2.911345673,-3.05920953,-2.248526123,-2.940331764,-2.175803869,-2.666733845,-3.282463993,-2.887646326,-2.695317618,-3.145231823,-2.237485237,-2.576604738
1700012A03Rik,NONMMUT056233,-3.466350089,-2.731036593,-3.790652749,-3.61519289,-3.345265182,-3.430885069,-3.013698617,-3.096305789,-3.291342796,-3.407380301,-3.90882979,-4.07485631
1700012B07Rik,A_51_P287241,-2.605729608,-3.623473523,-3.088379379,-2.824984462,-2.713643394,-2.847127888,-3.114378332,-2.842182823,-2.969614254,-2.695467565,-2.710738538,-1.891916736
1700012B09Rik,A_51_P193686,-1.736736828,-2.888187604,-2.433275592,-2.11785444,-1.943890746,-1.036894324,-1.797003991,-2.585585446,-2.459973527,-2.741053416,-2.97704562,-2.283634533
1700012P22Rik,A_51_P139349,-1.530948469,-4.322602497,-1.607583298,-2.076816101,-2.685066587,-2.645513794,-1.743909501,-1.251871502,-1.893464307,-1.131223333,-2.095181723,-1.309198368
1700013F07Rik,NONMMUT044783,-0.909362645,-1.028862974,-1.31851597,-1.168333381,-1.067489841,-0.852399292,-0.667197546,-1.419024732,-0.926866954,-1.768965272,-1.322593817,-1.308153537
1700013G24Rik,A_51_P324742,-3.878872783,-4.420576982,-4.231211147,-4.086349982,-4.174970984,-3.993545368,-3.818834866,-4.739572036,-3.906724431,-4.304411579,-4.250312386,-3.58440469
1700013H16Rik,A_51_P132483,-6.836822654,-7.015731138,-6.90984436,-7.269711809,-6.307977987,-6.685538677,-6.749624041,-6.845426628,-6.521350627,-6.441686071,-6.577930182,-6.492133293
1700015F17Rik,A_66_P132695,-6.811509805,-6.171140543,-6.816011493,-7.130206861,-6.379515998,-6.251115799,-5.982775152,-6.660169451,-6.317636628,-5.881617598,-6.422419363,-6.381997798
